n,"a, steps","a, time","b, steps","b, time","c, steps","c, time","d, steps","d, time","e, steps","e, time","f, steps","f, time",n,n^2,n^3,n^2/2,n^4,n^5/10
43,43,59.60464478,1849,1440.048218,79507,59850.21591,903,939.3692017,13846602,10361409.19,394912,342829.2274,43,1849,79507,39753.5,3418801,14700844.3
44,44,47.68371582,1936,1447.200775,85184,76260.56671,946,910.7589722,15555078,12879440.78,433741,395908.3557,44,1936,85184,42592,3748096,16491622.4
45,45,59.60464478,2025,1521.110535,91125,80249.30954,990,2231.5979,17428158,12920701.5,475365,423171.5202,45,2025,91125,45562.5,4100625,18452812.5
46,46,59.60464478,2116,1571.178436,97336,90508.461,1035,851.1543274,19477458,14370410.44,519915,422608.8524,46,2116,97336,48668,4477456,20596297.6
47,47,59.60464478,2209,1683.235168,103823,81460.47592,1081,939.3692017,21715128,16026589.87,567525,440242.2905,47,2209,103823,51911.5,4879681,22934500.7
48,48,57.22045898,2304,1718.997955,110592,129590.0345,1128,2100.467682,24153864,20038099.29,618332,571238.9946,48,2304,110592,55296,5308416,25480396.8
49,49,69.14138794,2401,1840.591431,117649,90680.12238,1176,2481.937408,26806920,19937059.88,672476,509619.7128,49,2401,117649,58824.5,5764801,28247524.9
50,50,59.60464478,2500,2400.875092,125000,113358.4976,1225,1630.783081,29688120,21974639.89,730100,578303.3371,50,2500,125000,62500,6250000,31250000
51,51,59.60464478,2601,1919.269562,132651,114150.0473,1275,1289.844513,32811870,24371230.6,791350,607008.934,51,2601,132651,66325.5,6765201,34502525.1
52,52,52.4520874,2704,2019.405365,140608,129828.4531,1326,1678.466797,36193170,30412952.9,856375,680336.9522,52,2704,140608,70304,7311616,38020403.2
53,53,61.98883057,2809,3061.294556,148877,129861.8317,1378,1251.69754,39847626,29477257.73,925327,717008.1139,53,2809,148877,74438.5,7890481,41819549.3
54,54,88.21487427,2916,3678.798676,157464,162234.3063,1431,1196.861267,43791462,33256161.21,998361,828423.5001,54,2916,157464,78732,8503056,45916502.4
55,55,90.59906006,3025,2350.80719,166375,147261.6196,1485,2288.818359,48041532,39961948.39,1075635,868709.0874,55,3025,166375,83187.5,9150625,50328437.5
56,56,69.14138794,3136,2381.801605,175616,160939.6935,1540,1368.522644,52615332,44340589.05,1157310,1044368.744,56,3136,175616,87808,9834496,55073177.6
57,57,69.14138794,3249,2377.033234,185193,156829.3571,1596,1389.980316,57531012,42559189.8,1243550,1003022.194,57,3249,185193,92596.5,10556001,60169205.7
58,58,61.98883057,3364,2470.016479,195112,167911.0527,1653,1459.121704,62807388,46228580.47,1334522,1108889.58,58,3364,195112,97556,11316496,65635676.8
59,59,97.75161743,3481,2779.960632,205379,184330.9402,1711,1368.522644,68463954,52877278.33,1430396,1193580.627,59,3481,205379,102689.5,12117361,71492429.9
60,60,109.6725464,3600,4222.393036,216000,222272.8729,1770,3440.380096,74520894,66762650.01,1531345,1386978.626,60,3600,216000,108000,12960000,77760000
61,61,69.14138794,3721,4067.420959,226981,185139.1792,1830,1490.116119,80999094,61770963.67,1637545,1317820.549,61,3721,226981,113490.5,13845841,84459630.1
62,62,61.98883057,3844,2927.780151,238328,208592.4149,1891,2479.553223,87920154,68391721.25,1749175,1423068.047,62,3844,238328,119164,14776336,91613283.2
63,63,61.98883057,3969,2768.039703,250047,200901.0315,1953,2307.891846,95306400,73257179.26,1866417,1475670.338,63,3969,250047,125023.5,15752961,99243654.3
64,64,59.60464478,4096,2760.887146,262144,215439.7964,2016,1759.529114,103180896,89650669.1,1989456,1544806.957,64,4096,262144,131072,16777216,107374182.4
65,65,59.60464478,4225,2880.096436,274625,235776.9012,2080,1788.139343,111567456,83919379.71,2118480,1725580.692,65,4225,274625,137312.5,17850625,116029062.5
66,66,69.14138794,4356,3430.843353,287496,264389.5149,2145,1800.060272,120490656,90500941.28,2253680,1827490.33,66,4356,287496,143748,18974736,125233257.6
67,67,78.6781311,4489,3273.487091,300763,272169.1132,2211,3051.757813,129975846,98074319.36,2395250,1861267.09,67,4489,300763,150381.5,20151121,135012510.7
68,68,71.52557373,4624,3688.335419,314432,284852.9816,2278,1800.060272,140049162,120909340.4,2543387,2272720.337,68,4624,314432,157216,21381376,145393356.8
69,69,78.6781311,4761,3640.651703,328509,278580.1888,2346,2031.326294,150737538,113731877.8,2698291,2120671.272,69,4761,328509,164254.5,22667121,156403134.9
